,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,
MONTGOMERY,01101*,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,11001,,,,,,,,,,,,,,
SARASOTA,12115*,,,,,,,,,,,,,,
LAPORTE,18091*,,,,,,,,,,,,,,
ANNE ARUNDEL,24003*,,,,,,,,,,,,,,
"BALTIMORE (COUNTY,NOT CITY)",24005*,,,,,,,,,,,,,,
HOWARD,24027*,,,,,,,,,,,,,,
PRINCE GEORGE'S,24033*,,,,,,,,,,,,,,
ARLINGTON,51013*,,,,,,,,,,,,,,
LOUDOUN,51107*,,,,,,,,,,,,,,
PRINCE WILLIAM,51153*,,,,,,,,,,,,,,
PORTSMOUTH (CITY),51740*,,,,,,,,,,,,,,
KING,53033*,,,,,,,,,,,,,,
OUTSIDE U.S.,99999*,,,,,,,,,,,,,,
     1st,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,
PALM BEACH,12099*,,,,,,,,,,,,,,
ANDROSCOGGIN,23001,,,,,,,,,,,,,,
AROOSTOOK,23003,,,,,,,,,,,,,,
CUMBERLAND,23005,,,,,,,,,,,,,,
FRANKLIN,23007,,,,,,,,,,,,,,
HANCOCK,23009,,,,,,,,,,,,,,
KENNEBEC,23011,,,,,,,,,,,,,,
KNOX,23013,,,,,,,,,,,,,,
LINCOLN,23015,,,,,,,,,,,,,,
OXFORD,23017,,,,,,,,,,,,,,
PENOBSCOT,23019,,,,,,,,,,,,,,
PISCATAQUIS,23021,,,,,,,,,,,,,,
SAGADAHOC,23023,,,,,,,,,,,,,,
SOMERSET,23025,,,,,,,,,,,,,,
WALDO,23027,,,,,,,,,,,,,,
WASHINGTON,23029,,,,,,,,,,,,,,
YORK,23031,,,,,,,,,,,,,,
BEAVERHEAD,30001*,,,,,,,,,,,,,,
JEFFERSON,30043*,,,,,,,,,,,,,,
MA,,,,,,,,,,,,,,,
HARTFORD,09003*,,,,,,,,,,,,,,
NEW LONDON,09011*,,,,,,,,,,,,,,
WINDHAM,09015*,,,,,,,,,,,,,,
ANNE ARUNDEL,24003*,,,,,,,,,,,,,,
BARNSTABLE,25001,,,,,,,,,,,,,,
BERKSHIRE,25003,,,,,,,,,,,,,,
BRISTOL,25005,,,,,,,,,,,,,,
DUKES,25007,,,,,,,,,,,,,,
ESSEX,25009,,,,,,,,,,,,,,
FRANKLIN,25011,,,,,,,,,,,,,,
HAMPDEN,25013,,,,,,,,,,,,,,
HAMPSHIRE,25015,,,,,,,,,,,,,,
MIDDLESEX,25017,,,,,,,,,,,,,,
NANTUCKET,25019,,,,,,,,,,,,,,
NORFOLK,25021,,,,,,,,,,,,,,
PLYMOUTH,25023,,,,,,,,,,,,,,
SUFFOLK,25025,,,,,,,,,,,,,,
WORCESTER,25027,,,,,,,,,,,,,,
CARROLL,33003*,,,,,,,,,,,,,,
HILLSBOROUGH,33011*,,,,,,,,,,,,,,
MERRIMACK,33013*,,,,,,,,,,,,,,
ROCKINGHAM,33015*,,,,,,,,,,,,,,
