"state","puma12","county","stab","cntyname","PUMAname","pop10","afact"
"State code","puma12","County code","State abbreviation","County name","PUMA12 name","Total population (2010)","puma12 to county allocation factor"
"01","00100","01033","AL","Colbert","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",54428,0.292 
"01","00100","01059","AL","Franklin","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",31704,0.17 
"01","00100","01077","AL","Lauderdale","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",92709,0.497 
"01","00100","01093","AL","Marion","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",7854,0.042 
"01","00200","01083","AL","Limestone","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",82782,0.482 
"01","00200","01089","AL","Madison","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",89039,0.518 
"01","00301","01089","AL","Madison","Huntsville (North) & Madison (East) Cities",118924,1 
"01","00302","01089","AL","Madison","Huntsville City (Central & South)",101522,1 
"01","00400","01049","AL","DeKalb","DeKalb & Jackson Counties",71109,0.572 
"01","00400","01071","AL","Jackson","DeKalb & Jackson Counties",53227,0.428 
"01","00500","01089","AL","Madison","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",25326,0.214 
"01","00500","01095","AL","Marshall","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",93019,0.786 
"01","00600","01079","AL","Lawrence","Morgan & Lawrence Counties--Decatur City",34339,0.223 
"01","00600","01103","AL","Morgan","Morgan & Lawrence Counties--Decatur City",119490,0.777 
"01","00700","01043","AL","Cullman","Cullman & Winston Counties",80406,0.767 
"01","00700","01133","AL","Winston","Cullman & Winston Counties",24484,0.233 
"01","00800","01009","AL","Blount","St. Clair & Blount Counties",57322,0.407 
"01","00800","01115","AL","St. Clair","St. Clair & Blount Counties",83593,0.593 
"01","00900","01055","AL","Etowah","Etowah County",104430,1 
"01","01000","01019","AL","Cherokee","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",25989,0.162 
"01","01000","01027","AL","Clay","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",13932,0.087 
"01","01000","01029","AL","Cleburne","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",14972,0.094 
"01","01000","01111","AL","Randolph","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",22913,0.143 
"01","01000","01121","AL","Talladega","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",82291,0.514 
"01","01100","01015","AL","Calhoun","Calhoun County",118572,1 
"01","01200","01117","AL","Shelby","Shelby County",195085,1 
"01","01301","01073","AL","Jefferson","Birmingham City (West)",100833,1 
"01","01302","01073","AL","Jefferson","Birmingham City (East)",102098,1 
"01","01303","01073","AL","Jefferson","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",170145,1 
"01","01304","01073","AL","Jefferson","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",174673,1 
"01","01305","01073","AL","Jefferson","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",110717,1 
"01","01400","01057","AL","Fayette","Walker, Marion (South & West), Fayette & Lamar Counties",17241,0.142 
"01","01400","01075","AL","Lamar","Walker, Marion (South & West), Fayette & Lamar Counties",14564,0.12 
"01","01400","01093","AL","Marion","Walker, Marion (South & West), Fayette & Lamar Counties",22922,0.188 
"01","01400","01127","AL","Walker","Walker, Marion (South & West), Fayette & Lamar Counties",67023,0.55 
"01","01500","01107","AL","Pickens","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",19746,0.19 
"01","01500","01125","AL","Tuscaloosa","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",84027,0.81 
"01","01600","01125","AL","Tuscaloosa","Tuscaloosa & Northport (Southeast) Cities",110629,1 
"01","01700","01007","AL","Bibb","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22915,0.167 
"01","01700","01047","AL","Dallas","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",43820,0.32 
"01","01700","01063","AL","Greene","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",9045,0.066 
"01","01700","01065","AL","Hale","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",15760,0.115 
"01","01700","01091","AL","Marengo","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",21027,0.154 
"01","01700","01105","AL","Perry","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",10591,0.077 
"01","01700","01119","AL","Sumter","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",13763,0.101 
"01","01800","01017","AL","Chambers","Chilton, Tallapoosa, Chambers & Coosa Counties",34215,0.261 
"01","01800","01021","AL","Chilton","Chilton, Tallapoosa, Chambers & Coosa Counties",43643,0.333 
"01","01800","01037","AL","Coosa","Chilton, Tallapoosa, Chambers & Coosa Counties",11539,0.088 
"01","01800","01123","AL","Tallapoosa","Chilton, Tallapoosa, Chambers & Coosa Counties",41616,0.318 
"01","01900","01081","AL","Lee","Lee County--Auburn City",140247,1 
"01","02000","01101","AL","Montgomery","Montgomery City & Pike Road Town (North)",196534,1 
"01","02100","01001","AL","Autauga","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",54571,0.307 
"01","02100","01051","AL","Elmore","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",79303,0.446 
"01","02100","01085","AL","Lowndes","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",11299,0.063 
"01","02100","01101","AL","Montgomery","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",32829,0.184 
